Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
CA-2017-152156,2017-08-11,2017-11-11,second class,CG-12520,Claire Gute,consumer,united states,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,Bush Somerset Collection Bookcase,261.96
CA-2017-152156,2017-08-11,2017-11-11,second class,CG-12520,Claire Gute,consumer,united states,henderson,kentucky,42420,south,FUR-CH-10000454,furniture,chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
CA-2017-138688,2017-12-06,,second class,DV-13045,Darrin Van Huff,corporate,united states,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
US-2016-108966,2016-11-10,,standard class,SO-20335,Sean O'Donnell,consumer,united states,fort lauderdale,florida,33311,south,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
US-2016-108966,2016-11-10,,standard class,SO-20335,Sean O'Donnell,consumer,united states,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,Eldon Fold 'N Roll Cart System,22.368
CA-2015-115812,2015-09-06,,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,FUR-FU-10001487,furniture,furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
CA-2015-115812,2015-09-06,,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,Newell 322,7.28
CA-2015-115812,2015-09-06,,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002275,technology,phones,Mitel 5320 IP Phone VoIP phone,907.152
CA-2015-115812,2015-09-06,,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
CA-2015-115812,2015-09-06,,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
